spec,inline,compiler,class,target,run,status,gflops,wall_seconds,build_status,build_time_seconds,build_peak_rss_kb,job_id,array_task_id,node,started_at,finished_at,error_message
fullspec,inline,new,A,mt_pth,1,SUCCESS,3.560038,1.279466,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,2,SUCCESS,3.546494,1.29604,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,3,SUCCESS,3.562333,1.278633,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,4,SUCCESS,3.759969,1.196704,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,5,SUCCESS,3.749135,1.196523,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,6,SUCCESS,3.756288,1.205287,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,7,SUCCESS,3.570003,1.278821,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,8,SUCCESS,3.757966,1.2182,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,9,SUCCESS,3.764594,1.195188,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,10,SUCCESS,3.762469,1.196244,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,11,SUCCESS,3.768372,1.193217,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,12,SUCCESS,3.704562,1.20658,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,13,SUCCESS,3.67811,1.220656,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,14,SUCCESS,3.708325,1.205176,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,15,SUCCESS,3.71683,1.206926,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,16,SUCCESS,3.715159,1.206771,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,17,SUCCESS,3.717333,1.209369,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,18,SUCCESS,3.735748,1.21438,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,19,SUCCESS,3.762849,1.198054,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,A,mt_pth,20,SUCCESS,3.742853,1.209947,SUCCESS,34.97731,1943080.0,1642540,0,cn99,2026-05-25T18:49:22+00:00,2026-05-25T18:50:22+00:00,
fullspec,inline,new,B,mt_pth,1,SUCCESS,3.592183,5.609258,SUCCESS,42.724226,1943048.0,1642540,8,cn99,2026-05-25T18:54:44+00:00,2026-05-25T18:57:19+00:00,
fullspec,inline,new,B,mt_pth,2,SUCCESS,3.540926,5.674052,SUCCESS,42.724226,1943048.0,1642540,8,cn99,2026-05-25T18:54:44+00:00,2026-05-25T18:57:19+00:00,
fullspec,inline,new,B,mt_pth,3,SUCCESS,3.615952,5.574708,SUCCESS,42.724226,1943048.0,1642540,8,cn99,2026-05-25T18:54:44+00:00,2026-05-25T18:57:19+00:00,
fullspec,inline,new,B,mt_pth,4,SUCCESS,3.594727,5.590838,SUCCESS,42.724226,1943048.0,1642540,8,cn99,2026-05-25T18:54:44+00:00,2026-05-25T18:57:19+00:00,
fullspec,inline,new,B,mt_pth,5,SUCCESS,3.407971,5.881579,SUCCESS,42.724226,1943048.0,1642540,8,cn99,2026-05-25T18:54:44+00:00,2026-05-25T18:57:19+00:00,
